Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,-1.5502599352452147,-1.5320996167607723,-1.5411100293081976,-1.5243692766863803,-1.5243692766863803,0.0477783470074331
2010-01-05,-1.524536124569911,-1.5281570458561777,-1.5235317055365454,-1.527946494470027,-1.527946494470027,-1.4975364172768522
2010-01-06,-1.5276461340533798,-1.5295446350841246,-1.5225227217126094,-1.5291462687414623,-1.5291462687414623,1.0584260266629855
2010-01-07,-1.5280459691726906,-1.527760610995374,-1.5307289775089121,-1.5202143446045178,-1.5202143446045178,1.3653714045352596
2010-01-08,-1.5230921625418812,-1.5219900573043408,-1.5154376654917177,-1.5144595778803898,-1.5144595778803898,0.4578937084427758
2010-01-11,-1.5075868576099118,-1.5138187134542394,-1.5113345375935663,-1.5157260740848586,-1.5157260740848586,0.32007624312806876
2010-01-12,-1.5239363040993001,-1.529808924991327,-1.5287558961616305,-1.5345899376721381,-1.5345899376721381,0.7942441280513544
2010-01-13,-1.5301784231423479,-1.5217698605250949,-1.5295630284813884,-1.516681472495875,-1.516681472495875,0.23209800617132204
2010-01-14,-1.5159393305465072,-1.5149861059029401,-1.5096081940510528,-1.5103046457985272,-1.5103046457985272,-0.030703760884209372
2010-01-15,-1.5070315084580987,-1.5144354795245571,-1.5285989309580426,-1.529124028097118,-1.529124028097118,0.838089053680583
2010-01-19,-1.5284235686326026,-1.5121668343190902,-1.519069897779105,-1.5042610219252914,-1.5042610219252914,0.8031737852091042
2010-01-20,-1.5110077595750966,-1.5195892671452726,-1.5301011166945602,-1.5254579833497783,-1.5254579833497783,0.8914713063318143
2010-01-21,-1.5235142333205907,-1.5240163247363154,-1.5421637625842461,-1.5504542977739866,-1.5504542977739866,3.0170077960853487
2010-01-22,-1.5511706481975411,-1.5530234191393293,-1.5693383121372435,-1.5754283715538504,-1.5754283715538504,2.3314325953374104
2010-01-25,-1.571052174949108,-1.5724493994700486,-1.5723428204587562,-1.5732287175827098,-1.5732287175827098,0.5524430195248333
2010-01-26,-1.5762058313479284,-1.5764140169386212,-1.5774100458802536,-1.5864490176675836,-1.5864490176675836,0.8104658235801387
2010-01-27,-1.5898452390564475,-1.579101009138602,-1.586378547695724,-1.5726287626401496,-1.5726287626401496,1.4152621303393431
2010-01-28,-1.5690528637692651,-1.5759734889498611,-1.596826792097417,-1.5958475884947068,-1.5958475884947068,1.552533722725145
2010-01-29,-1.5904893952625667,-1.5851138061728594,-1.602947750794963,-1.6089345803271988,-1.6089345803271988,1.5117992428417533
2010-02-01,-1.6077719259469692,-1.600002764953181,-1.599158690152465,-1.592914671328624,-1.592914671328624,0.1365702436129252
2010-02-02,-1.5909559373600737,-1.5860610018423142,-1.5876565756262457,-1.5822496042970322,-1.5822496042970322,0.8286238230831525
2010-02-03,-1.58546901723685,-1.5857526188071553,-1.5892483971154663,-1.5897818595908113,-1.5897818595908113,0.3506348276575311
2010-02-04,-1.5890899045533344,-1.5970073897180412,-1.6272748940785131,-1.6363971652273113,-1.6363971652273113,1.9720216193548965
2010-02-05,-1.6346952419802052,-1.6358596192400159,-1.6478800324734957,-1.6290649401189472,-1.6290649401189472,2.568578334734401
2010-02-08,-1.628875193715867,-1.6307938834449451,-1.634696323856876,-1.6434850144752564,-1.6434850144752564,0.1491459199561923
2010-02-09,-1.631140926058628,-1.6261685412083664,-1.6305707528084294,-1.6241989854864871,-1.6241989854864871,1.2042667940836755
2010-02-10,-1.6276089813797385,-1.6274019389187337,-1.6323196763497152,-1.6227546997409479,-1.6227546997409479,0.31561656429380613
2010-02-11,-1.6253653491130873,-1.6080860569776376,-1.6251897338282335,-1.6013356031003863,-1.6013356031003863,0.46951153228815284
2010-02-12,-1.6106597144197394,-1.5968092395027735,-1.608553064429632,-1.5896485513384297,-1.5896485513384297,0.22212810060188504
2010-02-16,-1.5820481152716652,-1.5745197600299796,-1.5781722918994212,-1.5671628530651294,-1.5671628530651294,0.1398248822079067
2010-02-17,-1.5629219230232114,-1.5649830079461777,-1.5585536941780793,-1.5582975152475331,-1.5582975152475331,0.3236295669105644
2010-02-18,-1.5602784556372493,-1.5558425562929112,-1.5528138584901174,-1.5483212301221942,-1.5483212301221942,-0.06837929246788761
2010-02-19,-1.5490825299633924,-1.5480896938675917,-1.544495660639294,-1.5432108996293155,-1.5432108996293155,-0.0007528462189998824
2010-02-22,-1.539774872755673,-1.5465260009883555,-1.535840952382522,-1.5418110951724648,-1.5418110951724648,-0.13448141431153082
2010-02-23,-1.5431514389853493,-1.5509970172770866,-1.5508407771428356,-1.5577642822380062,-1.5577642822380062,0.5932907937896961
2010-02-24,-1.5553468846658387,-1.549323091577959,-1.5464014125356906,-1.54585495964629,-1.54585495964629,0.23003810832639704
2010-02-25,-1.55759051693249,-1.5533316677442202,-1.5579259702122048,-1.5457882377132568,-1.5457882377132568,0.5933731897034931
2010-02-26,-1.5443731800026803,-1.552560844586591,-1.5477243267668026,-1.5500098917281526,-1.5500098917281526,0.00018440730044099227
2010-03-01,-1.5447064437270837,-1.5264831201570503,-1.5355047156735284,-1.518703336925945,-1.518703336925945,-0.10028711008577584
2010-03-02,-1.516228122952113,-1.5097220854623337,-1.5067606509331282,-1.5061274730723204,-1.5061274730723204,0.19534942861786006
2010-03-03,-1.5026331865623914,-1.501749026257768,-1.4973212535068936,-1.5040166460648725,-1.5040166460648725,0.006497994195136115
2010-03-04,-1.5010781818206569,-1.5047664480568859,-1.4961105550272569,-1.4968844511419235,-1.4968844511419235,-9.835056022576642e-07
2010-03-05,-1.4908153403418138,-1.4750105770602213,-1.4811107302669435,-1.4667776706111513,-1.4667776706111513,0.19361911442812305
2010-03-08,-1.4661799923107375,-1.4702973174282659,-1.4584204316216813,-1.464355881423936,-1.464355881423936,-0.1754321834686398
2010-03-09,-1.467734997052472,-1.4586900703542647,-1.4592948933923242,-1.458756663596534,-1.458756663596534,1.2777124517444762
2010-03-10,-1.4570056134761218,-1.4497919964744905,-1.447501291609224,-1.4469806492571997,-1.4469806492571997,1.5697544687087182
2010-03-11,-1.4534959044566311,-1.4503426228528737,-1.4496536444619115,-1.4418925594086651,-1.4418925594086651,0.7457335338033706
2010-03-12,-1.4374351147895597,-1.4466422952915035,-1.441425082363791,-1.4432922282518306,-1.4432922282518306,1.0125932996134042
2010-03-15,-1.4453211812119369,-1.452567040500116,-1.4485325817349777,-1.4481360778536312,-1.4481360778536312,0.2256608254059314
2010-03-16,-1.4468982860297812,-1.4451446076739336,-1.4403489059374472,-1.4366487850497196,-1.4366487850497196,0.4374801207995691
2010-03-17,-1.434191962516276,-1.4289341993576,-1.424250461600495,-1.4268725301097958,-1.4268725301097958,1.0486827098564901
2010-03-18,-1.4303933255078904,-1.4310706996094658,-1.423017183122086,-1.4321384094994007,-1.4321384094994007,0.2981692295472914
2010-03-19,-1.4296602266641762,-1.4362465337941595,-1.4445641127385966,-1.4492913708363777,-1.4492913708363777,1.3053562808233699
2010-03-22,-1.457472155573629,-1.4369733982541002,-1.4528151179870121,-1.429249973622007,-1.429249973622007,0.3261529417705975
2010-03-23,-1.4280386505275344,-1.4203224619490067,-1.423353556679557,-1.4128301398662872,-1.4128301398662872,0.48060408218307393
2010-03-24,-1.416953903150671,-1.4236041736553269,-1.4172101548317162,-1.4275390713717042,-1.4275390713717042,0.7835223597685197
2010-03-25,-1.4191752997579234,-1.4148822034268422,-1.4272772762238253,-1.4377153866824584,-1.4377153866824584,1.7755176644382762
2010-03-26,-1.4370352796702488,-1.4321058126742974,-1.4319633786357389,-1.438004243831566,-1.438004243831566,0.7862723233914946
2010-03-29,-1.4335699063862668,-1.436620922090985,-1.4264028144531824,-1.430716364398206,-1.430716364398206,0.4434641240390762
2010-03-30,-1.42854952836055,-1.429594924125606,-1.425102480220843,-1.4269613570734885,-1.4269613570734885,0.14418156614992306
2010-03-31,-1.431948330249625,-1.427194268396806,-1.4278153644369973,-1.438737371412823,-1.438737371412823,0.5554813688460977
2010-04-01,-1.4315040238115166,-1.429903307160765,-1.429810888934574,-1.4268725301097958,-1.4268725301097958,0.06371165683792797
2010-04-05,-1.4211523752783675,-1.4053453169127723,-1.4125240524198026,-1.3964991330742602,-1.3964991330742602,-0.0652894457005001
2010-04-06,-1.4017594907004174,-1.3943327893451105,-1.393510872362518,-1.3879893743388052,-1.3879893743388052,0.14539690587842882
2010-04-07,-1.3900971585123423,-1.3939143079203287,-1.3903270925355997,-1.3924775092447794,-1.3924775092447794,1.1910525494084816
2010-04-08,-1.3963171774792802,-1.3968216313298236,-1.3967844247906167,-1.3920775844876343,-1.3920775844876343,0.805377875903174
2010-04-09,-1.3885866250894052,-1.3936720645771046,-1.3887351341979017,-1.3847231187349256,-1.3847231187349256,0.5835268780047516
2010-04-12,-1.3822779346514502,-1.3859412487157632,-1.3755289824309869,-1.3800349536435363,-1.3800349536435363,0.6819075990783695
2010-04-13,-1.3815893071265337,-1.3842233643189474,-1.3790043863632637,-1.3756577507319143,-1.3756577507319143,1.5022516163305257
2010-04-14,-1.368549719888625,-1.3508333054528472,-1.3577041945515211,-1.3415072413410019,-1.3415072413410019,1.8693872092315085
2010-04-15,-1.3414486541634878,-1.3448205084185896,-1.333511573321264,-1.337485617511521,-1.337485617511521,2.11172389119771
